Ssn,Bdate,Sex,Salary,Super_ssn,Dno
1,2,8,5,2,9
2,7,6,6,1,3
3,7,7,5,1,6
4,4,3,3,9,0
5,5,1,6,9,6
6,2,2,4,0,8
7,0,2,9,5,8
8,5,1,2,1,0
9,1,7,4,4,7
10,5,2,7,1,8
11,5,8,1,1,7
12,4,3,5,6,2
13,4,2,9,6,1
14,1,1,9,8,5
15,8,5,1,3,5
16,7,1,2,2,3
17,0,8,6,6,6
18,6,7,2,5,6
19,7,1,8,4,7
20,3,0,5,9,7
21,8,5,5,6,4
22,2,0,0,5,6
23,9,7,5,8,7
24,7,2,4,8,4
25,7,2,5,5,8
26,3,9,9,2,6
27,1,8,1,5,8
28,9,5,5,0,5
29,9,2,4,3,3
30,5,9,3,5,7
31,4,3,3,0,0
32,6,2,6,7,4
33,1,6,3,0,2
34,7,9,1,8,3
35,8,7,6,6,9
36,2,9,7,4,9
37,9,7,1,3,5
38,9,0,5,6,1
39,4,7,4,2,2
40,7,7,6,6,9
41,2,2,6,3,1
42,8,5,4,5,4
43,3,9,0,0,1
44,0,1,9,9,3
45,6,1,3,8,4
46,5,6,4,3,8
47,1,6,2,3,1
48,7,7,5,8,4
49,5,0,2,1,4
50,0,0,2,5,6
51,4,6,9,1,9
52,5,3,5,9,0
53,9,3,5,3,6
54,3,1,7,8,5
55,3,7,0,3,3
56,3,1,7,4,9
57,1,8,1,0,0
58,1,2,8,4,7
59,9,5,4,4,5
60,1,0,6,8,8
61,0,8,6,3,5
62,7,4,1,9,9
63,8,4,5,4,6
64,1,0,0,6,6
65,2,7,2,7,0
66,6,6,1,8,1
67,0,8,8,0,0
68,0,1,1,8,9
69,3,3,2,4,4
70,4,1,1,1,2
71,1,1,7,2,6
72,0,4,2,2,7
73,5,3,9,9,5
74,3,8,5,1,1
75,0,0,8,7,2
76,6,8,1,0,4
77,2,3,3,8,8
78,0,3,7,1,0
79,6,6,4,8,4
80,2,6,4,8,4
81,7,8,6,9,2
82,3,8,6,1,5
83,8,3,1,7,3
84,7,0,4,1,3
85,1,8,3,6,2
86,2,4,3,3,9
87,4,0,3,3,0
88,8,2,6,0,6
89,5,0,3,1,7
90,8,3,6,2,5
91,1,3,6,4,6
92,9,6,4,6,1
93,6,7,3,7,6
94,4,9,4,9,1
95,8,6,5,7,0
96,2,0,5,6,3
97,8,1,0,1,0
98,8,0,0,8,1
99,1,3,7,9,7
100,8,5,1,4,7
