Ssn, Bdate, Sex, Salary, Super_ssn, Dno
100, 8, 5, 1, 4, 7
99, 1, 3, 7, 9, 7
98, 8, 0, 0, 8, 1
97, 8, 1, 0, 1, 0
96, 2, 0, 5, 6, 3
95, 8, 6, 5, 7, 0
94, 4, 9, 4, 9, 1
93, 6, 7, 3, 7, 6
92, 9, 6, 4, 6, 1
91, 1, 3, 6, 4, 6
90, 8, 3, 6, 2, 5
89, 5, 0, 3, 1, 7
88, 8, 2, 6, 0, 6
87, 4, 0, 3, 3, 0
86, 2, 4, 3, 3, 9
85, 1, 8, 3, 6, 2
84, 7, 0, 4, 1, 3
83, 8, 3, 1, 7, 3
82, 3, 8, 6, 1, 5
81, 7, 8, 6, 9, 2
80, 2, 6, 4, 8, 4
79, 6, 6, 4, 8, 4
78, 0, 3, 7, 1, 0
77, 2, 3, 3, 8, 8
76, 6, 8, 1, 0, 4
75, 0, 0, 8, 7, 2
74, 3, 8, 5, 1, 1
73, 5, 3, 9, 9, 5
72, 0, 4, 2, 2, 7
71, 1, 1, 7, 2, 6
70, 4, 1, 1, 1, 2
69, 3, 3, 2, 4, 4
68, 0, 1, 1, 8, 9
67, 0, 8, 8, 0, 0
66, 6, 6, 1, 8, 1
65, 2, 7, 2, 7, 0
64, 1, 0, 0, 6, 6
63, 8, 4, 5, 4, 6
62, 7, 4, 1, 9, 9
61, 0, 8, 6, 3, 5
60, 1, 0, 6, 8, 8
59, 9, 5, 4, 4, 5
58, 1, 2, 8, 4, 7
57, 1, 8, 1, 0, 0
56, 3, 1, 7, 4, 9
55, 3, 7, 0, 3, 3
54, 3, 1, 7, 8, 5
53, 9, 3, 5, 3, 6
52, 5, 3, 5, 9, 0
51, 4, 6, 9, 1, 9
50, 0, 0, 2, 5, 6
49, 5, 0, 2, 1, 4
48, 7, 7, 5, 8, 4
47, 1, 6, 2, 3, 1
46, 5, 6, 4, 3, 8
45, 6, 1, 3, 8, 4
44, 0, 1, 9, 9, 3
43, 3, 9, 0, 0, 1
42, 8, 5, 4, 5, 4
41, 2, 2, 6, 3, 1
40, 7, 7, 6, 6, 9
39, 4, 7, 4, 2, 2
38, 9, 0, 5, 6, 1
37, 9, 7, 1, 3, 5
36, 2, 9, 7, 4, 9
35, 8, 7, 6, 6, 9
34, 7, 9, 1, 8, 3
33, 1, 6, 3, 0, 2
32, 6, 2, 6, 7, 4
31, 4, 3, 3, 0, 0
30, 5, 9, 3, 5, 7
29, 9, 2, 4, 3, 3
28, 9, 5, 5, 0, 5
27, 1, 8, 1, 5, 8
26, 3, 9, 9, 2, 6
25, 7, 2, 5, 5, 8
24, 7, 2, 4, 8, 4
23, 9, 7, 5, 8, 7
22, 2, 0, 0, 5, 6
21, 8, 5, 5, 6, 4
20, 3, 0, 5, 9, 7
19, 7, 1, 8, 4, 7
18, 6, 7, 2, 5, 6
17, 0, 8, 6, 6, 6
16, 7, 1, 2, 2, 3
15, 8, 5, 1, 3, 5
14, 1, 1, 9, 8, 5
13, 4, 2, 9, 6, 1
12, 4, 3, 5, 6, 2
11, 5, 8, 1, 1, 7
10, 5, 2, 7, 1, 8
9, 1, 7, 4, 4, 7
8, 5, 1, 2, 1, 0
7, 0, 2, 9, 5, 8
6, 2, 2, 4, 0, 8
5, 5, 1, 6, 9, 6
4, 4, 3, 3, 9, 0
3, 7, 7, 5, 1, 6
2, 7, 6, 6, 1, 3
1, 2, 8, 5, 2, 9
